date,racetrack,event_name,grade,event_type
2022/4/20,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　４／２０～,普通,ミッドナイト
2022/4/20,川口,令和４年度川口市営　普通開催　４／１８～,普通,デイ
2022/4/21,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　４／２０～,普通,ミッドナイト
2022/4/21,川口,令和４年度川口市営　普通開催　４／１８～,普通,デイ
2022/4/22,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　４／２０～,普通,ミッドナイト
2022/4/22,浜松,令和４年度浜松市営　普通開催　４／２２～,普通,デイ
2022/4/23,伊勢崎,令和４年度伊勢崎市営 普通開催 ４／２３～,普通,ナイター
2022/4/23,浜松,令和４年度浜松市営　普通開催　４／２２～,普通,デイ
2022/4/24,伊勢崎,令和４年度伊勢崎市営 普通開催 ４／２３～,普通,ナイター
2022/4/24,浜松,令和４年度浜松市営　普通開催　４／２２～,普通,デイ
2022/4/25,伊勢崎,令和４年度伊勢崎市営 普通開催 ４／２３～,普通,ナイター
2022/4/26,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　４／２６～,普通,ミッドナイト
2022/4/26,川口,ＳＧオールスター・オートレース,普通,デイ
2022/4/27,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　４／２６～,普通,ミッドナイト
2022/4/27,川口,ＳＧオールスター・オートレース,普通,デイ
2022/4/28,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　４／２６～,普通,ミッドナイト
2022/4/28,川口,ＳＧオールスター・オートレース,普通,デイ
2022/4/29,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　４／２６～,普通,ミッドナイト
2022/4/29,川口,ＳＧオールスター・オートレース,普通,デイ
2022/4/30,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　４／３０～,普通,ナイター
2022/4/30,川口,ＳＧオールスター・オートレース,普通,デイ
2022/5/1,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　４／３０～,普通,ナイター
2022/5/1,川口,ＳＧオールスター・オートレース,普通,デイ
2022/5/2,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　４／３０～,普通,ナイター
2022/5/2,飯塚,令和４年度飯塚市営　普通開催　５／２～,普通,デイ
2022/5/3,伊勢崎,令和４年度伊勢崎市営 普通開催 ５／３～,普通,ナイター
2022/5/3,飯塚,令和４年度飯塚市営　普通開催　５／２～,普通,デイ
2022/5/4,伊勢崎,令和４年度伊勢崎市営 普通開催 ５／３～,普通,ナイター
2022/5/4,飯塚,令和４年度飯塚市営　普通開催　５／２～,普通,デイ
2022/5/5,伊勢崎,令和４年度伊勢崎市営 普通開催 ５／３～,普通,ナイター
2022/5/5,川口,令和４年度川口市営　普通開催　５／５～,普通,デイ
